更新时间,#genre#
20260703 02:39,url

blacklist,#genre#
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
&Flix HD,http://89.187.177.137:8081/&FLIX/index.m3u8
,动作影院,rtp://239.3.1.92:4120
--娇妹,http://iptv.jxpan.vip:18888/aio/huya/11342404
-小癲,http://iptv.jxpan.vip:18888/aio/huya/11602065
-惟美,http://iptv.jxpan.vip:18888/aio/huya/11352885
-懒猪,http://iptv.jxpan.vip:18888/aio/huya/11342393
-若凌Provence-,http://iptv.jxpan.vip:18888/aio/huya/11352955
-若凌Provence-,http://live.nctv.top/huya.php?id=11352955
//常熟综合x,http://8.138.7.223/tv/dl/jstv.php?id=szcs
//张家港新闻综合x,http://8.138.7.223/tv/dl/jstv.php?id=szzjg
//扬州新闻x,http://8.138.7.223/tv/dl/jstv.php?id=yz1
//邗江综合x,http://8.138.7.223/tv/dl/jstv.php?id=yzhj
000,https://hls-gateway.vpstv.net/streams/709649.m3u8
0小行家0,http://iptv.jxpan.vip:18888/aio/douyu/9280356
0小行家0,https://www.goodiptv.club/douyu/9280356
1+1 Marafon,https://m3u8.ott.blue/watch/45/index.m3u8?geo=auto&token=94450098895765784220366841698509
1+1 Ukraina Ⓢ,http://212.79.122.11:5014/udp/239.255.6.49:1234
1003402830,http://43.138.170.29:35455/douyu/2436920
11554444,http://43.138.170.29:35455/douyu/11484175
11No巴蒂11,http://iptv.jxpan.vip:18888/aio/douyu/9455937
11No巴蒂11,https://www.goodiptv.club/douyu/9455937
12/20 22:45_英超联赛_伯恩茅斯 vs 伯恩利_郭灿亮,https://live.sport888.tv/sport/202_4317182_1.m3u8
1338.hk,https://m1.m3u8111222333.com/G0130/e094/e094.m3u8
17号说动漫,http://43.138.170.29:35455/douyu/9822277
17号说动漫,http://iptv.jxpan.vip:18888/aio/douyu/9822277
17号说动漫,https://www.goodiptv.club/douyu/9822277
18台,P2p://generationnexxxt.com:19806/2cd619b81446414fb605daa1e86bebd6
18台,https://hls-gateway.vpstv.net/streams/708886.m3u8
18台,mitv://135.148.104.228:19806/2cd619b81446414fb605daa1e86bebd6
18台,mitv://generationnexxxt.com:19806/8bf8f53c61944785b13817297101af20
1900影剧室,http://iptv.jxpan.vip:18888/aio/douyu/7796193
