更新时间,#genre#
20260403 02:02,url

RespoTime,whitelist,#genre#
0.01ms,香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
0.01ms,中国|CGTN,http://39.134.67.108/PLTV/88888888/224/3221225510/1.m3u8
0.01ms,中国|CGTN-Documentary,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
0.01ms,CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
0.01ms,CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
0.01ms,CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
0.01ms,CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
0.01ms,CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
0.01ms,CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
0.01ms,CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
0.01ms,CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
0.01ms,CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
0.01ms,CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
0.01ms,CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
0.01ms,CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
0.01ms,CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
0.01ms,CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
0.01ms,CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
0.01ms,CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
0.01ms,CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
0.01ms,CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
0.01ms,CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8
0.01ms,CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8
0.01ms,咪咕视频,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
0.01ms,咪咕体育,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
0.01ms,安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
0.01ms,北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
0.01ms,东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8
0.01ms,东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
0.01ms,广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
0.01ms,贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
0.01ms,河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
0.01ms,湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
0.01ms,江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8
0.01ms,江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
0.01ms,山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
0.01ms,深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8
0.01ms,四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
0.01ms,天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
0.01ms,西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
0.01ms,浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8
0.01ms,重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
0.01ms,广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8
0.01ms,海南卫视,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8
0.01ms,吉林卫视,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8
0.01ms,山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8
0.01ms,黑龙江农业科教,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
0.01ms,山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
0.01ms,足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
0.01ms,CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
0.01ms,CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
0.01ms,CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
